date,ALE.WA,ALR.WA,BDX.WA,CCC.WA,CDR.WA,CPS.WA,DNP.WA,JSW.WA,KGH.WA,KRU.WA,KTY.WA,LPP.WA,MBK.WA,OPL.WA,PCO.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA
2025-05-28,34.45000076293945,107.5,659.0,233.6999969482422,220.39999389648438,16.774999618530273,556.4000244140625,23.15999984741211,125.69999694824219,417.3999938964844,884.0,15405.0,861.5999755859375,9.887999534606934,17.59000015258789,186.89999389648438,9.473999977111816,73.9800033569336,77.5199966430664,61.7599983215332
2025-05-27,33.54999923706055,107.30000305175781,661.4000244140625,238.1999969482422,220.1999969482422,16.639999389648438,551.0,22.8799991607666,125.8499984741211,420.5,872.0,15590.0,842.0,9.84000015258789,17.280000686645508,184.60000610351562,9.244000434875488,72.5999984741211,77.08000183105469,61.0
2025-05-26,33.51499938964844,106.6500015258789,658.7999877929688,235.3000030517578,220.10000610351562,16.700000762939453,544.7999877929688,23.049999237060547,127.30000305175781,421.0,867.5,15625.0,826.4000244140625,9.803999900817871,16.96500015258789,181.8000030517578,9.199999809265137,71.9000015258789,75.81999969482422,60.5
2025-05-23,33.05500030517578,103.44999694824219,640.0,225.8000030517578,218.1999969482422,16.600000381469727,527.2000122070312,22.979999542236328,123.5999984741211,399.20001220703125,834.5,15020.0,791.5999755859375,9.722000122070312,16.329999923706055,176.5,8.97599983215332,70.55000305175781,74.12000274658203,58.619998931884766
2025-05-22,32.224998474121094,104.0999984741211,643.2000122070312,229.10000610351562,220.0,16.610000610351562,527.4000244140625,22.799999237060547,122.0999984741211,392.5,834.5,15495.0,802.7999877929688,9.847999572753906,16.700000762939453,178.85000610351562,9.210000038146973,70.5199966430664,74.9000015258789,60.099998474121094
2025-05-21,32.974998474121094,105.4000015258789,645.0,228.1999969482422,225.0,17.0049991607666,527.2000122070312,23.149999618530273,122.3499984741211,394.20001220703125,848.0,15600.0,800.0,9.925999641418457,18.395000457763672,179.39999389648438,9.477999687194824,71.68000030517578,75.18000030517578,60.099998474121094
2025-05-20,33.79999923706055,106.69999694824219,634.2000122070312,226.6999969482422,229.89999389648438,17.020000457763672,533.7999877929688,23.15999984741211,123.5999984741211,402.70001220703125,852.0,15830.0,803.4000244140625,9.887999534606934,18.614999771118164,181.5,9.505999565124512,72.98999786376953,76.0,62.400001525878906
2025-05-19,33.33000183105469,105.5,624.2000122070312,229.8000030517578,232.1999969482422,17.15999984741211,532.4000244140625,23.190000534057617,124.1500015258789,404.1000061035156,863.0,15980.0,806.5999755859375,9.692000389099121,18.299999237060547,178.75,9.47599983215332,72.2300033569336,75.5999984741211,62.560001373291016
2025-05-16,33.5099983215332,107.30000305175781,626.4000244140625,233.60000610351562,231.60000610351562,17.780000686645508,520.2000122070312,22.940000534057617,123.4000015258789,403.20001220703125,845.5,16150.0,812.4000244140625,9.673999786376953,18.354999542236328,181.8000030517578,9.593999862670898,72.38999938964844,77.16000366210938,63.31999969482422
2025-05-15,33.48500061035156,106.6500015258789,623.0,228.3000030517578,231.1999969482422,17.979999542236328,555.5999755859375,22.850000381469727,123.75,405.70001220703125,846.0,16450.0,812.4000244140625,9.61400032043457,18.375,180.89999389648438,9.020000457763672,71.69999694824219,77.62000274658203,63.15999984741211
2025-05-14,33.58000183105469,107.1500015258789,625.7999877929688,225.60000610351562,234.0,17.844999313354492,550.7999877929688,23.18000030517578,127.1500015258789,410.29998779296875,858.0,16385.0,821.4000244140625,9.567999839782715,18.579999923706055,182.5,9.215999603271484,72.8499984741211,78.95999908447266,62.47999954223633
2025-05-13,34.880001068115234,107.80000305175781,630.0,227.1999969482422,240.8000030517578,18.28499984741211,549.7999877929688,24.200000762939453,129.4499969482422,410.6000061035156,860.0,16560.0,820.0,9.720000267028809,18.739999771118164,181.8000030517578,9.489999771118164,73.0,78.19999694824219,62.63999938964844
2025-05-12,34.63999938964844,107.05000305175781,626.0,227.0,245.0,18.520000457763672,549.7999877929688,23.850000381469727,129.6999969482422,407.8999938964844,870.0,16260.0,828.0,9.649999618530273,18.545000076293945,178.75,8.878000259399414,72.5,78.0199966430664,62.2599983215332
2025-05-09,33.88999938964844,107.4000015258789,636.0,242.60000610351562,243.3000030517578,18.56999969482422,549.2000122070312,23.760000228881836,126.25,410.70001220703125,876.0,16400.0,817.7999877929688,9.711999893188477,18.614999771118164,178.39999389648438,8.836000442504883,72.2699966430664,78.27999877929688,62.099998474121094
2025-05-08,33.65999984741211,103.05000305175781,618.0,232.10000610351562,245.0,18.704999923706055,556.2000122070312,23.850000381469727,124.0,402.6000061035156,849.5,15660.0,794.2000122070312,9.668000221252441,18.424999237060547,171.0,8.711999893188477,70.18000030517578,74.55999755859375,60.29999923706055
2025-05-07,33.380001068115234,101.80000305175781,639.4000244140625,225.89999389648438,245.0,18.9950008392334,537.7999877929688,24.5,124.0,403.1000061035156,860.0,15520.0,788.7999877929688,9.62399959564209,18.200000762939453,168.25,8.545999526977539,69.94000244140625,73.95999908447266,60.279998779296875
2025-05-06,32.650001525878906,99.80000305175781,638.0,220.6999969482422,243.1999969482422,18.700000762939453,534.7999877929688,24.209999084472656,123.44999694824219,396.5,857.5,15370.0,782.0,9.553999900817871,18.200000762939453,166.39999389648438,8.338000297546387,69.31999969482422,73.0999984741211,59.540000915527344
